id,clause_type,applies_to_category,label_ja,text_en,sort_order,is_active,last_reviewed_date,created_at
008caf9f-9b5f-456a-8ac0-e1f375870d0f,context,null,錠剤を飲むのが苦手,I find tablets difficult to swallow.,90,true,null,2026-08-22 15:35:05.263501+00
0e8c8d05-bdac-424d-a99d-bfa29cecf55c,context,null,自分が使います,This is for myself.,110,true,null,2026-08-22 15:35:05.263501+00
1dac4052-7013-46c2-b789-bd8472a40b5d,context,null,薬のアレルギーがある,I have an allergy to some medicines.,60,true,null,2026-08-22 15:35:05.263501+00
2539036c-e74d-4c6b-8921-47b39368f04d,context,null,旅行中で数日分ほしい,I am travelling and only need enough for a few days.,120,true,null,2026-08-22 15:35:05.263501+00
4edd2558-b116-447d-b408-f0f78b5a4720,context,null,薬は何も飲んでいない,I am not taking any other medication.,30,true,null,2026-08-22 15:35:05.263501+00
59c84b4c-8c84-40d9-afd4-f668cf4d0858,context,null,妊娠中です,I am pregnant.,40,true,null,2026-08-22 15:35:05.263501+00
5f96a35d-08ca-4dc2-bad6-6089264be780,context,null,ほかに薬を飲んでいる,I am taking other medication.,20,true,null,2026-08-22 15:35:05.263501+00
75da6419-b641-44e4-8e60-c9bc82699f44,context,null,高血圧の薬を飲んでいる,I am taking medication for high blood pressure.,10,true,null,2026-08-22 15:35:05.263501+00
8393138f-fe8a-4d89-a926-0731d4fb1b46,context,null,眠くならない薬がいい,I would prefer a non-drowsy medicine.,80,true,null,2026-08-22 15:35:05.263501+00
912a4f53-bb33-4e2b-8ef3-3f1105ce7418,context,null,授乳中です,I am breastfeeding.,50,true,null,2026-08-22 15:35:05.263501+00
a2386b55-6833-4d61-b57a-aef8889e96f1,context,null,液体・シロップタイプがいい,I would prefer a liquid or syrup.,100,true,null,2026-08-22 15:35:05.263501+00
c130f480-83e8-4293-9b01-3e9c93db004f,context,null,喘息がある,I have asthma.,70,true,null,2026-08-22 15:35:05.263501+00
0f94696b-8bd6-45e5-bb76-2c42b7a34937,duration,null,2〜3日前から,It started 2-3 days ago.,30,true,null,2026-08-22 15:35:05.263501+00
5a640d63-748f-43a8-9ea0-4a87809948c2,duration,null,2週間以上前から,It started more than two weeks ago.,50,true,null,2026-08-22 15:35:05.263501+00
88d750f3-6ce3-4d2b-b46c-6b2b56b3ba77,duration,null,1週間ほど前から,It started about a week ago.,40,true,null,2026-08-22 15:35:05.263501+00
d76537c5-0394-48a0-93e5-d4d611c65625,duration,null,今日から,It started today.,10,true,null,2026-08-22 15:35:05.263501+00
fae6bdb3-ebc0-4fd1-ba98-e9e8de4a39a3,duration,null,昨日から,It started yesterday.,20,true,null,2026-08-22 15:35:05.263501+00
5b338102-d50d-46a1-9027-0524a76b8613,fixed,null,(固定・締めの依頼),Could you recommend something suitable?,10,true,null,2026-08-22 15:35:05.263501+00
