id,category_id,brand_name_en,description_ja,active_ingredient,caution_flags,state_note,last_reviewed_date,source_note,is_active,created_at
4863c5e1-8046-43b3-bca4-2751569600fb,aee6c7a4-ff06-4e93-86c9-c63ab6cb7587,Bepanthen Antiseptic Cream,傷・虫刺され・日焼けなど幅広く使える抗菌クリーム,Dexpanthenol,"[""赤ちゃんにも使用可とされる""]",null,2026-08-22,Chemist Warehouse / Bepanthen公式サイト,true,2026-08-22 09:08:26.018364+00
936ce80a-3967-420f-bc45-b264e63ff3d8,f7b4c641-a0c7-401c-b4d3-925aceeda3c6,Betadine Sore Throat Gargle,殺菌成分入りのうがい薬、喉の痛みに(Isoginの代替候補として提案),Povidone-iodine 1% w/v (Ready To Use),"[""甲状腺疾患のある方は要相談""]",null,2026-08-22,Chemist Warehouse商品ページ,true,2026-08-22 09:08:26.018364+00
cd80f4d6-2612-454e-bd7c-0b904589ea8e,2dabb888-6d1e-4e19-bde6-fdae0b47773f,Bisolvon Chesty Forte Oral Cough Liquid 200mL,胸に絡む痰を薄めて出しやすくする、非眠気タイプの去痰シロップ,Bromhexine hydrochloride 8mg/5mL,"[""症状が続く場合は要相談""]",null,2026-08-22,https://www.chemistwarehouse.com.au/buy/130410/bisolvon-chesty-forte-200ml,true,2026-08-22 09:08:26.018364+00
44eea249-00fc-45dc-b5b4-e6bca4150dd0,2dabb888-6d1e-4e19-bde6-fdae0b47773f,Bisolvon Dry Cough Oral Liquid 200mL,痰の絡まない乾いた刺激性の咳を抑えるシロップ,Dextromethorphan hydrobromide 10mg/5mL,"[""眠気が出る可能性あり"",""他の鎮咳薬や一部の抗うつ薬との併用は要相談""]",null,2026-08-22,https://www.chemistwarehouse.com.au/buy/31691/bisolvon-dry-oral-liquid-200ml-cough-liquid,true,2026-08-22 09:08:26.018364+00
b79a1d86-ece9-4513-be24-beba4f68ceed,fc3fe798-c2ee-4e7c-9ae9-100e853b71c7,Buscopan,胃・腹部のけいれん痛を和らげる錠剤,Hyoscine butylbromide 10mg,null,null,2026-08-22,Chemist Warehouse / Buscopan公式サイト,true,2026-08-22 09:08:26.018364+00
7c508fd1-bdff-430e-8606-b50ea255c17b,c5c9899c-49b3-48ea-8446-2edc143374b5,Claratyne,24時間効果の非眠気タイプ抗ヒスタミン薬,Loratadine 10mg,"[""非眠気""]",null,2026-08-22,Chemist Warehouse商品ページ,true,2026-08-22 09:08:26.018364+00
ce3dd12f-e290-4d44-a22b-62c3993a3989,fa36d3ba-b9d8-4b69-b3b9-179588e1eb9c,Codral PE Day & Night Tablets 48 Pack,頭痛・発熱・喉の痛み・鼻づまりや鼻水など、風邪の複数症状を昼夜に分けて和らげる,"Day: Paracetamol 500mg, Phenylephrine hydrochloride 5mg / Night: Paracetamol 500mg, Phenylephrine hydrochloride 5mg, Chlorpheniramine maleate 2mg","[""Dayは非眠気"",""Night剤は眠気の可能性あり"",""他のパラセタモール製品と併用しない""]",null,2026-08-22,https://www.chemistwarehouse.com.au/buy/85158/codral-pe-day-night-tablets-48-pack,true,2026-08-22 09:08:26.018364+00
1462c07a-2c2b-4644-b341-47a5f8c29051,c0339434-afba-46e5-9a21-ab39a97e246e,Crystasoothe Burn Gel,日焼け・軽度のやけどを冷却・保護するアロエ配合ジェル,"Aloe vera, Carbomer 980NF","[""年齢制限の記載なし""]",null,2026-08-22,Chemist Warehouse商品ページ,true,2026-08-22 09:08:26.018364+00
5d7aa3d7-2660-4dbc-bafb-97fef88fc69d,c5c9899c-49b3-48ea-8446-2edc143374b5,Demazin Allergy & Hayfever 10 Tablets,くしゃみ・鼻水・目のかゆみや涙目を24時間和らげる非眠気タイプの抗ヒスタミン薬,Loratadine 10mg,"[""1日1回"",""症状が5日以上続く場合は要相談""]",null,2026-08-22,https://www.chemistwarehouse.com.au/buy/138343/demazin-allergy-hayfever-10-tablets,true,2026-08-22 09:08:26.018364+00
3c493841-b09b-4d3a-a304-c7cd52559ba9,fa36d3ba-b9d8-4b69-b3b9-179588e1eb9c,Demazin Cold & Flu Relief Day + Night,発熱・鼻づまり・喉の痛みなど複数症状に効く総合感冒薬。昼夜で成分が異なる,"Day: Paracetamol 500mg, Phenylephrine hydrochloride 5mg / Night: Paracetamol 500mg, Phenylephrine hydrochloride 5mg, Chlorphenamine maleate 2mg","[""Day非眠気"",""Night剤は眠気の可能性あり""]",null,2026-08-22,Chemist Warehouse商品ページ,true,2026-08-22 09:08:26.018364+00
f61bb973-1a8f-4a94-825e-826ce594eca2,f7b4c641-a0c7-401c-b4d3-925aceeda3c6,Difflam Sore Throat Spray,喉の痛み・口内炎に効く鎮痛スプレー,Benzydamine hydrochloride,null,null,2026-08-22,Chemist Warehouse商品ページ,true,2026-08-22 09:08:26.018364+00
c212e3b2-5992-4035-87cd-779c0d1a87b9,f7b4c641-a0c7-401c-b4d3-925aceeda3c6,Difflam Sore Throat Sugar Free Honey & Lemon 16 Lozenges,炎症による喉の痛みや腫れを和らげる、抗炎症・抗菌タイプのトローチ,"Benzydamine hydrochloride 3mg, Cetylpyridinium chloride 1.33mg","[""抗炎症薬へのアレルギーがある方は使用不可"",""過量で下痢の可能性""]",null,2026-08-22,https://www.chemistwarehouse.com.au/buy/41060/difflam-sore-throat-sugar-free-honey-and-lemon-16-lozenges,true,2026-08-22 09:08:26.018364+00
69c94dd8-5c85-49fe-8512-e2e3c1c0ee95,fa36d3ba-b9d8-4b69-b3b9-179588e1eb9c,Dimetapp Cough Cold & Flu Day & Night 48 Capsules,発熱・頭痛・体の痛み・鼻づまり・乾いた咳などを昼夜に分けて和らげる総合感冒薬,"Day: Paracetamol 500mg, Dextromethorphan HBr 10mg, Phenylephrine HCl 5mg / Night: Paracetamol 500mg, Dextromethorphan HBr 10mg, Chlorpheniramine maleate 2mg","[""Night剤は眠気の可能性あり"",""他のパラセタモール製品と併用しない""]",null,2026-08-22,https://www.chemistwarehouse.com.au/buy/124587/dimetapp-cough-cold-flu-day-night-48-capsules,true,2026-08-22 09:08:26.018364+00
9ff4f62f-5610-49a4-8f06-a4b94a2ca673,2dabb888-6d1e-4e19-bde6-fdae0b47773f,Duro-Tuss Chesty Cough Liquid Forte,痰が絡む咳用の去痰シロップ,"Bromhexine hydrochloride 8mg, Guaiphenesin 200mg","[""糖尿病の方も使用可とされる""]",null,2026-08-22,Chemist Warehouse商品ページ,true,2026-08-22 09:08:26.018364+00
695cb651-8270-4aaf-8703-f647bd461fc6,2dabb888-6d1e-4e19-bde6-fdae0b47773f,Duro-Tuss Dry Cough Liquid Forte,乾いた咳(痰の絡まない咳)用の鎮咳シロップ,Dextromethorphan hydrobromide monohydrate,"[""非眠気""]",null,2026-08-22,Chemist Warehouse商品ページ,true,2026-08-22 09:08:26.018364+00
