clause_type,applies_to_category,label_ja,text_en,sort_order,is_active,last_reviewed_date
symptom,cold,喉が痛い,I have a sore throat.,10,true,
symptom,cold,唾を飲み込むと喉が痛い,It hurts when I swallow.,20,true,
symptom,cold,乾いた咳が出る,I have a dry cough.,30,true,
symptom,cold,痰がからむ咳が出る,I have a cough with phlegm.,40,true,
symptom,cold,夜になると咳がひどくなる,My cough gets worse at night.,50,true,
symptom,cold,鼻水が出る,I have a runny nose.,60,true,
symptom,cold,鼻がつまっている,I have a blocked nose.,70,true,
symptom,cold,声がかれている,My voice is hoarse.,80,true,
symptom,cold,熱はない,I do not have a fever.,90,true,
symptom,stomach,下痢をしている,I have diarrhoea.,10,true,
symptom,stomach,吐き気がある,I feel nauseous.,20,true,
symptom,stomach,吐いてしまった,I have been vomiting.,30,true,
symptom,stomach,胃がむかむかする,I have an upset stomach.,40,true,
symptom,stomach,胸やけがする,I have heartburn.,50,true,
symptom,stomach,お腹が張っている,I feel bloated.,60,true,
symptom,stomach,お腹がしぼられるように痛い,I have stomach cramps.,70,true,
symptom,stomach,便秘している,I am constipated.,80,true,
symptom,stomach,食欲がない,I have no appetite.,90,true,
symptom,head_fever,頭が痛い,I have a headache.,10,true,
symptom,head_fever,ずきずきする頭痛がする,I have a throbbing headache.,20,true,
symptom,head_fever,頭が重い感じがする,My head feels heavy.,30,true,
symptom,head_fever,熱がある,I have a fever.,40,true,
symptom,head_fever,寒気がする,I have chills.,50,true,
symptom,head_fever,体の節々が痛い,My body aches.,60,true,
symptom,head_fever,体がだるい,I feel tired and run down.,70,true,
symptom,allergy,くしゃみが止まらない,I cannot stop sneezing.,10,true,
symptom,allergy,鼻水が止まらない,I have a constant runny nose.,20,true,
symptom,allergy,目がかゆい,My eyes are itchy.,30,true,
symptom,allergy,目が赤くなっている,My eyes are red.,40,true,
symptom,allergy,肌がかゆい,My skin is itchy.,50,true,
symptom,allergy,じんましんが出ている,I have hives.,60,true,
symptom,allergy,花粉症だと思う,I think it is hay fever.,70,true,
symptom,skin,擦り傷がある,I have a graze.,10,true,
symptom,skin,切り傷がある,I have a cut.,20,true,
symptom,skin,虫に刺された,I have an insect bite.,30,true,
symptom,skin,刺されたところが腫れている,The bite is swollen.,40,true,
symptom,skin,刺されたところがかゆい,The bite is itchy.,50,true,
symptom,skin,日焼けで肌が赤くなっている,I have sunburn.,60,true,
symptom,skin,日焼けでひりひりする,My sunburn is stinging.,70,true,
symptom,skin,傷口が膿んでいるように見える,The wound looks infected.,80,true,
duration,,今日から,It started today.,10,true,
duration,,昨日から,It started yesterday.,20,true,
duration,,2〜3日前から,It started 2-3 days ago.,30,true,
duration,,1週間ほど前から,It started about a week ago.,40,true,
duration,,2週間以上前から,It started more than two weeks ago.,50,true,
context,,高血圧の薬を飲んでいる,I am taking medication for high blood pressure.,10,true,
context,,ほかに薬を飲んでいる,I am taking other medication.,20,true,
context,,薬は何も飲んでいない,I am not taking any other medication.,30,true,
context,,妊娠中です,I am pregnant.,40,true,
context,,授乳中です,I am breastfeeding.,50,true,
context,,薬のアレルギーがある,I have an allergy to some medicines.,60,true,
context,,喘息がある,I have asthma.,70,true,
context,,眠くならない薬がいい,I would prefer a non-drowsy medicine.,80,true,
context,,錠剤を飲むのが苦手,I find tablets difficult to swallow.,90,true,
context,,液体・シロップタイプがいい,I would prefer a liquid or syrup.,100,true,
context,,自分が使います,This is for myself.,110,true,
context,,旅行中で数日分ほしい,I am travelling and only need enough for a few days.,120,true,
fixed,,(固定・締めの依頼),Could you recommend something suitable?,10,true,
fixed,,(固定・双方向化),"I'm not confident in English. Could you please write down your answer, or show me the product?",20,true,
